"id_unorder";"id_wares";"price_unorder";"date_unorder";"amount_unorder";"id_user"
"430";"10677";"950";"2018-10-23";"3";"10103"
"431";"10048";"1500";"2018-11-04";"5";"10808"
"432";"14718";"315";"2018-11-07";"4";"13352"
"433";"439";"0";"2018-12-03";"0";"7634"
"434";"435";"0";"2018-12-03";"0";"7634"
"435";"10677";"1000";"2018-12-04";"1";"13422"
"436";"10678";"1000";"2018-12-04";"1";"13422"
"437";"10679";"1000";"2018-12-04";"0";"13422"
"438";"16307";"1000";"2018-12-04";"1";"13422"
"439";"16308";"1000";"2018-12-04";"1";"13422"
"440";"9349";"1500";"2018-12-04";"1";"13422"
"441";"21311";"0";"2019-01-16";"0";"7634"
"442";"7227";"0";"2019-01-17";"0";"7634"
"443";"11736";"18";"2019-01-21";"1";"6596"
"444";"17786";"0";"2019-01-22";"3";"13774"
"445";"24991";"0";"2019-01-22";"0";"7634"
"446";"24988";"0";"2019-01-22";"0";"7634"
"447";"20628";"0";"2019-01-22";"0";"7634"
"448";"17940";"0";"2019-01-22";"0";"7634"
"449";"17786";"0";"2019-01-22";"3";"13774"
"450";"14509";"0";"2019-01-24";"0";"7634"
"451";"5323";"0";"2019-01-27";"0";"7634"
"452";"5190";"0";"2019-01-27";"0";"7634"
"453";"9257";"0";"2019-02-12";"1";"4164"
"454";"14509";"0";"2019-02-15";"0";"7634"
"455";"14509";"0";"2019-02-15";"0";"7634"
"456";"14532";"1200";"2019-03-02";"10";"11983"
"457";"12298";"2400";"2019-03-02";"5";"11983"
"458";"10250";"1200";"2019-03-02";"10";"11983"
"459";"9345";"1200";"2019-03-02";"8";"11983"
"460";"12291";"1200";"2019-03-02";"3";"11983"
"461";"12288";"1200";"2019-03-02";"3";"11983"
"462";"12286";"1200";"2019-03-02";"10";"11983"
"463";"9336";"0";"2019-03-02";"4";"11983"
"464";"9320";"1200";"2019-03-02";"10";"11983"
"465";"9301";"2000";"2019-03-02";"3";"11983"
"466";"9286";"2200";"2019-03-02";"8";"11983"
"467";"9301";"2000";"2019-03-02";"2";"11983"
"468";"9301";"2000";"2019-03-02";"2";"11983"
"469";"9320";"1400";"2019-03-02";"10";"11983"
"470";"9286";"8";"2019-03-02";"2000";"11983"
"471";"20562";"0";"2019-03-09";"0";"7634"
"472";"14509";"0";"2019-03-26";"0";"7634"
"473";"24441";"0";"2019-03-30";"0";"7634"
"474";"19785";"10";"2019-04-28";"1";"12316"
"475";"9391";"0";"2019-05-02";"1";"11146"
"476";"9391";"0";"2019-05-02";"1";"11146"
"477";"9562";"0";"2019-05-06";"0";"7634"
"478";"14475";"0";"2019-05-08";"0";"7634"
"479";"24033";"0";"2019-05-16";"0";"7634"
"480";"24033";"0";"2019-05-16";"0";"7634"
"481";"15581";"0";"2019-05-20";"2";"13898"
"487";"5111";"0";"2019-06-28";"0";"13229"
"485";"24901";"0";"2019-06-28";"0";"13229"
"486";"11079";"0";"2019-06-28";"0";"13229"
"488";"14475";"0";"2019-07-22";"0";"7634"
"489";"17833";"0";"2019-07-22";"0";"7634"
"490";"14454";"0";"2019-07-22";"0";"7634"
"491";"14475";"0";"2019-07-22";"0";"7634"
"492";"18116";"0";"2019-09-17";"1";"14052"
"493";"9330";"0";"2019-10-01";"1";"14364"
"494";"9325";"0";"2019-10-01";"1";"14364"
"495";"9321";"0";"2019-10-01";"1";"14364"
"496";"23899";"0";"2019-10-01";"1";"14364"
"497";"12619";"0";"2019-10-09";"2";"14292"
"498";"24441";"0";"2019-10-28";"0";"7634"
"499";"435";"0";"2019-10-28";"0";"7634"
"500";"26735";"0";"2019-11-03";"1";"14436"
"501";"17274";"3700";"2019-11-13";"3";"13769"
"502";"12303";"0";"2019-12-23";"1";"14348"
"503";"19931";"0";"2020-01-01";"1";"14348"
"504";"19930";"0";"2020-01-01";"1";"14348"
"505";"13510";"0";"2020-01-01";"1";"14348"
"506";"13510";"0";"2020-01-01";"1";"14348"
"507";"422";"0";"2020-01-28";"1";"14637"
"508";"186";"0";"2020-01-28";"1";"14637"
"509";"16318";"0";"2020-02-05";"0";"14638"
"510";"9562";"0";"2020-02-20";"0";"7634"
"511";"9558";"0";"2020-02-20";"0";"7634"
"512";"21899";"0";"2020-02-24";"0";"11951"
"513";"12955";"160";"2020-04-04";"10";"14831"
"514";"12954";"160";"2020-04-04";"10";"14831"
"515";"9370";"0";"2020-05-01";"0";"7634"
"516";"4897";"0";"2020-05-03";"1";"14925"
"517";"1278";"0";"2020-05-07";"1";"14934"
"518";"10231";"0";"2020-05-09";"1";"14883"
"519";"10233";"1250";"2020-05-09";"1";"14883"
"520";"21899";"0";"2020-05-12";"1";"11951"
"521";"2812";"100";"2020-05-21";"5";"13345"
"522";"9967";"1000";"2020-05-21";"1";"13345"
"523";"26195";"20000";"2020-05-21";"1";"13345"
"524";"5328";"0";"2020-06-03";"2";"13527"
"525";"11603";"0";"2020-06-06";"3";"3859"
"526";"25940";"0";"2020-06-12";"0";"7634"
"527";"18818";"0";"2020-06-12";"0";"7634"
"528";"24217";"0";"2020-06-12";"0";"7634"
"529";"26735";"0";"2020-06-28";"1";"15092"
"530";"12621";"300";"2020-09-16";"20";"15351"
"531";"15016";"0";"2020-09-21";"3";"15245"
"532";"17282";"0";"2020-09-21";"1";"13063"
"533";"17278";"3500";"2020-09-30";"1";"12533"
"534";"17281";"3200";"2020-09-30";"1";"12533"
"535";"5300";"400";"2020-09-30";"1";"12533"
"536";"17275";"3100";"2020-09-30";"1";"12533"
"537";"3018";"1500";"2020-09-30";"1";"12533"
"538";"25411";"0";"2020-10-02";"1";"14422"
"539";"25403";"0";"2020-10-02";"1";"14422"
"540";"23814";"0";"2020-10-02";"1";"14422"
"541";"26329";"0";"2020-10-02";"1";"14422"
"542";"26331";"0";"2020-10-04";"1";"14422"
"543";"25412";"0";"2020-10-04";"1";"14422"
"544";"26329";"0";"2020-10-04";"1";"14422"
"545";"26331";"0";"2020-10-05";"1";"14422"
"546";"12808";"10000";"2020-10-07";"1";"15329"
"547";"5459";"10000";"2020-10-07";"1";"15408"
"548";"25403";"0";"2020-10-07";"0";"14422"
"549";"25403";"0";"2020-10-07";"2";"14422"
"550";"23814";"0";"2020-10-07";"1";"14422"
"551";"23651";"0";"2020-10-07";"1";"14422"
"552";"25403";"0";"2020-10-10";"2";"14422"
"553";"23814";"0";"2020-10-10";"2";"14422"
"554";"23651";"0";"2020-10-10";"1";"14422"
"555";"25411";"0";"2020-10-10";"1";"14422"
"556";"26331";"0";"2020-10-10";"1";"14422"
"557";"25405";"0";"2020-10-10";"1";"14422"
"558";"26332";"0";"2020-10-10";"1";"14422"
"559";"12264";"0";"2020-10-10";"1";"14422"
"560";"12263";"0";"2020-10-10";"1";"14422"
"561";"12264";"0";"2020-10-12";"1";"14422"
"562";"25403";"0";"2020-10-12";"2";"14422"
"563";"23814";"0";"2020-10-12";"2";"14422"
"564";"17282";"0";"2020-10-12";"1";"13063"
"565";"26331";"0";"2020-10-14";"1";"14422"
"566";"26329";"0";"2020-10-14";"1";"14422"
"567";"25411";"0";"2020-10-14";"1";"14422"
"568";"25409";"0";"2020-10-14";"1";"14422"
"569";"25407";"0";"2020-10-14";"1";"14422"
"570";"25403";"0";"2020-10-14";"2";"14422"
"571";"23814";"0";"2020-10-14";"2";"14422"
"572";"17280";"0";"2020-10-22";"0";"12903"
"573";"17284";"0";"2020-10-22";"3";"12903"
"574";"17280";"0";"2020-10-22";"3";"12903"
"575";"19486";"1600";"2020-11-28";"1";"15385"
"576";"2998";"1200";"2020-12-01";"1";"7461"
"577";"2999";"650";"2020-12-01";"1";"7461"
"578";"25543";"0";"2020-12-19";"2";"15643"
"579";"21715";"0";"2021-01-10";"0";"7634"
"580";"24026";"0";"2021-01-12";"1";"13313"
"581";"9455";"0";"2021-01-12";"1";"13313"
"582";"9440";"0";"2021-01-12";"1";"13313"
"583";"9420";"0";"2021-01-12";"1";"13313"
"584";"24038";"0";"2021-01-18";"0";"13313"
"585";"24042";"0";"2021-01-18";"0";"13313"
"586";"21715";"0";"2021-01-19";"0";"7634"
"587";"12154";"0";"2021-01-29";"2";"8364"
"588";"14528";"0";"2021-02-03";"0";"15404"
"589";"21513";"0";"2021-02-07";"1";"15802"
"590";"23030";"0";"2021-02-12";"0";"7634"
"591";"17602";"4500";"2021-02-24";"4";"9784"
"592";"21715";"0";"2021-03-04";"0";"7634"
"593";"19631";"0";"2021-03-07";"1";"15899"
"594";"19857";"0";"2021-03-14";"3";"7256"
"595";"12389";"0";"2021-03-14";"2";"7256"
"596";"26908";"550";"2021-03-14";"2";"12792"
"597";"21715";"550";"2021-03-14";"2";"12792"
"598";"9859";"0";"2021-03-14";"1";"15905"
"599";"26007";"0";"2021-04-09";"0";"16019"
"600";"28495";"0";"2021-04-14";"0";"16037"
"601";"3566";"0";"2021-05-07";"1";"16107"
"602";"16080";"0";"2021-05-11";"1";"16121"
"603";"16079";"0";"2021-05-11";"1";"16121"
"604";"28495";"0";"2021-05-16";"1";"5958"
"605";"22191";"3";"2021-05-23";"1";"16166"
"606";"22190";"3";"2021-05-23";"1";"16166"
"607";"11917";"0";"2021-05-29";"2";"16166"
"608";"11916";"0";"2021-05-29";"2";"16166"
"609";"24777";"0";"2021-05-29";"2";"16166"
"610";"14101";"0";"2021-05-30";"1";"16166"
"611";"7805";"680";"2021-05-31";"1";"16185"
"612";"3943";"0";"2021-06-08";"1";"16071"
"613";"21921";"0";"2021-06-08";"1";"16071"
"614";"2920";"0";"2021-06-08";"1";"16071"
"615";"6141";"0";"2021-06-08";"1";"16071"
"616";"23968";"0";"2021-06-17";"0";"15603"
"617";"23508";"0";"2021-06-18";"3";"14643"
"618";"17653";"0";"2021-06-18";"3";"14643"
"619";"25403";"12";"2021-06-19";"1";"16246"
"620";"3018";"0";"2021-06-20";"0";"16166"
"621";"3017";"0";"2021-06-20";"0";"16166"
"622";"15793";"0";"2021-06-20";"0";"16166"
"623";"20541";"0";"2021-06-20";"0";"16166"
"624";"2599";"0";"2021-06-20";"0";"16166"
"625";"2598";"0";"2021-06-20";"0";"16166"
"626";"10416";"0";"2021-06-20";"0";"16166"
"627";"17638";"0";"2021-06-21";"1";"15603"
"628";"3018";"0";"2021-07-16";"0";"16166"
"629";"3017";"0";"2021-07-16";"0";"16166"
"630";"15793";"0";"2021-07-16";"0";"16166"
"631";"20541";"0";"2021-07-16";"0";"16166"
"632";"20541";"0";"2021-07-16";"0";"16166"
"633";"4796";"0";"2021-07-16";"0";"16166"
"634";"10416";"0";"2021-07-16";"0";"16166"
"635";"23518";"0";"2021-07-16";"0";"16166"
"636";"23517";"0";"2021-07-16";"0";"16166"
"637";"23968";"7500";"2021-07-20";"2";"16351"
"638";"4434";"0";"2021-07-25";"2";"3558"
"639";"21974";"0";"2021-08-09";"1";"16166"
"640";"16072";"0";"2021-08-14";"1";"12792"
"641";"26908";"0";"2021-08-14";"3";"12792"
"642";"16075";"0";"2021-08-14";"1";"14292"
"643";"26329";"0";"2021-08-19";"1";"13345"
"644";"23651";"0";"2021-08-19";"1";"13345"
"645";"14371";"0";"2021-08-23";"0";"15875"
"646";"25413";"6000";"2021-08-23";"1";"15472"
"647";"11080";"3100";"2021-08-24";"1";"15875"
"648";"20551";"1600";"2021-08-24";"3";"16409"
"649";"27123";"0";"2021-09-06";"0";"11107"
"650";"23207";"0";"2021-09-06";"0";"11107"
"651";"28790";"0";"2021-09-09";"0";"16166"
"652";"22261";"0";"2021-09-10";"1";"16166"
"653";"22262";"0";"2021-09-10";"1";"16166"
"654";"23122";"0";"2021-09-10";"1";"16166"
"655";"23122";"0";"2021-09-10";"1";"16166"
"656";"28744";"3000";"2021-09-15";"1";"13345"
"657";"4796";"0";"2021-09-16";"0";"16166"
